번호	상호	영업표지	대표자	등록번호	최초등록일	업종
5188	(주)지강푸드	돈오락쪽갈비	황규하	20100300029	2010.06.04	한식
5187	(주)지앤씨신칼	현풍닭칼국수	손기찬	20171304	2017.11.14	한식
5186	(주)대한제철	대한제철	김상훈	20230213	2023.02.10	농수산물
5185	(주)순수패밀리	순수	이순철	20180228	2018.03.07	이미용
5184	(주)디알오에프	뽕도리신	김무창	20210949	2021.03.31	중식
5183	(주)디온코리아	스낵얌	조대희	20220683	2022.07.20	분식
5182	(주)엠에이치프로페셔날	mod's hair	성용	20120100638	2012.11.26	이미용
5181	(주)서서가	백미원	조미선	20191110	2019.10.30	중식
5180	(주)반반한행복	米's 탕수육	이기원	20212746	2021.10.14	중식
5179	(주)반반한행복	고기,원칙	이기원	20171271	2017.11.02	한식
5178	(주)문래돼지불백	문래돼지불백	서민원	20171403	2017.11.30	한식
5177	칠성발효묵은지	강찜찌	김도영	20191250	2019.11.25	한식
5176	대한컴퍼니	대한맥주집	도재준	20170436	2017.03.27	치킨
5175	대한컴퍼니	대한치킨집	도재준	20200528	2020.04.20	치킨
5174	(주)더씨앤디	창화루	최윤우	20212863	2021.10.19	중식
5173	(주)와썹브로	피자와썹	김찬성, 김태환	20212464	2021.10.07	피자
5172	지니위니	지니위니	차윤화	20180098	2018.01.30	기타 교육
